too much small amount | Restaurant: Mahi's Kitchen | Cuisine: Curry | City: Dhaka
very small in amount | Restaurant: Mahi's Kitchen | Cuisine: Curry | City: Dhaka
food average but their desert booter halwa and pudding is very good | Restaurant: Mahi's Kitchen | Cuisine: Curry | City: Dhaka
fresh and tasty | Restaurant: Mahi's Kitchen | Cuisine: Curry | City: Dhaka
everything i ordered was good | Restaurant: Mahi's Kitchen | Cuisine: Curry | City: Dhaka
kalo jira vhorta balu vhorta not recommended baki shob valo chilo  | Restaurant: Mahi's Kitchen | Cuisine: Curry | City: Dhaka
quantity of dal should be little more otherwise everything was good specially beef  | Restaurant: Mahi's Kitchen | Cuisine: Curry | City: Dhaka
beef was too poor in size quantity aganist price but test was good  | Restaurant: Mahi's Kitchen | Cuisine: Curry | City: Dhaka
chicken was not up to the mark and lotpoti was full of potato alu bhorta didn t seem fresh  | Restaurant: Mahi's Kitchen | Cuisine: Curry | City: Dhaka
lot of sand in kali jeers bortha | Restaurant: Mahi's Kitchen | Cuisine: Curry | City: Dhaka
bad | Restaurant: Mahi's Kitchen | Cuisine: Curry | City: Dhaka
very good food i chose this home kitchen randomly but really got a food and packaging please always maintain the same standard allah bless you with all the sucess  | Restaurant: Mahi's Kitchen | Cuisine: Curry | City: Dhaka
honestly eating today s beef ribs and dal felt like i was eating my own food no extra colors or anything else very nice homemade food and it would be great if you could do it a little sooner  | Restaurant: Mahi's Kitchen | Cuisine: Curry | City: Dhaka
i ate good food after a long time the food was fresh it was fun if only i could give so much suggestion if i could increase the quantity of some food like dal it would be out of and the food should be delivered faster  | Restaurant: Mahi's Kitchen | Cuisine: Curry | City: Dhaka
really good clean tasting will order again | Restaurant: Mahi's Kitchen | Cuisine: Curry | City: Dhaka
too spicy with dry chilli  | Restaurant: Mahi's Kitchen | Cuisine: Curry | City: Dhaka
good quality | Restaurant: Mahi's Kitchen | Cuisine: Curry | City: Dhaka
very good packaging now food was absolutely delicious  | Restaurant: Mahi's Kitchen | Cuisine: Curry | City: Dhaka
fish was i fourth of its displayed at photo food was cold | Restaurant: Mahi's Kitchen | Cuisine: Curry | City: Dhaka
alu bhorta shutki bhorta dherosh bhaji tasty chilo lal shak only boil mone hocchilo bhaja hoini rui fish curry amount a kom pudding tasty but price ta arektu kom howa uchit  | Restaurant: Mahi's Kitchen | Cuisine: Curry | City: Dhaka
bot was not so tender | Restaurant: Mahi's Kitchen | Cuisine: Curry | City: Dhaka
very bad delivery person | Restaurant: Mahi's Kitchen | Cuisine: Curry | City: Dhaka
amount of food is poor comparing the price | Restaurant: Mahi's Kitchen | Cuisine: Curry | City: Dhaka
teast is good thanks | Restaurant: Mahi's Kitchen | Cuisine: Curry | City: Dhaka
spicy egg fry chilo dey nai r dherosh bhaji pura kacha worst food | Restaurant: Mahi's Kitchen | Cuisine: Curry | City: Dhaka
best food always | Restaurant: Mahi's Kitchen | Cuisine: Curry | City: Dhaka
good food | Restaurant: Mahi's Kitchen | Cuisine: Curry | City: Dhaka
very good standard of foods the pudding is very yummy keep the standard up always  | Restaurant: Mahi's Kitchen | Cuisine: Curry | City: Dhaka
quantity of food is very bad  | Restaurant: Mahi's Kitchen | Cuisine: Curry | City: Dhaka
the quantity and the pieces of beef was very poor | Restaurant: Mahi's Kitchen | Cuisine: Curry | City: Dhaka
best homemade food in uttara aro koyekta fish item barate paren  | Restaurant: Mahi's Kitchen | Cuisine: Curry | City: Dhaka
food taste was delicious but delivery time was extremely high  | Restaurant: Mahi's Kitchen | Cuisine: Curry | City: Dhaka
the food was good | Restaurant: Mahi's Kitchen | Cuisine: Curry | City: Dhaka
while ordering i told them to make the food less spicy but they did not listen to me and make the food so spicy like anything very disappointing | Restaurant: Mahi's Kitchen | Cuisine: Curry | City: Dhaka
food was good as my expectation  | Restaurant: Mahi's Kitchen | Cuisine: Curry | City: Dhaka
your service and food quality has become so utterly disappointing nowadays the worst packaging my tk worth of rice and chicken curry spilled all went to waste you lost a regular customer  | Restaurant: Mahi's Kitchen | Cuisine: Curry | City: Dhaka
good | Restaurant: Mahi's Kitchen | Cuisine: Curry | City: Dhaka
the match was good but the kaljira bharta of my order did not arrive  | Restaurant: Mahi's Kitchen | Cuisine: Curry | City: Dhaka
usual taste but neat presentation  | Restaurant: Mahi's Kitchen | Cuisine: Curry | City: Dhaka
the portion has decreased a lot it s now a tiny box  | Restaurant: Mahi's Kitchen | Cuisine: Curry | City: Dhaka
my orders from this kitchen are always fresh and delicious  | Restaurant: Mahi's Kitchen | Cuisine: Curry | City: Dhaka
food was really good i ordered rice fish daal but the payesh i ordered spilled on all the boxes  | Restaurant: Mahi's Kitchen | Cuisine: Curry | City: Dhaka
abominable thing rupees wasted no one will order these junk home made food  | Restaurant: Mahi's Kitchen | Cuisine: Curry | City: Dhaka
the food taste is good but quantity i think not sufficient with comparison the price  | Restaurant: Mahi's Kitchen | Cuisine: Curry | City: Dhaka
fresh and good quality  | Restaurant: Mahi's Kitchen | Cuisine: Curry | City: Dhaka
ordered alu bhorta rui fish curry beef curry and palong shak all off them are very good fresh and tasty thank you  | Restaurant: Mahi's Kitchen | Cuisine: Curry | City: Dhaka
delicious | Restaurant: Mahi's Kitchen | Cuisine: Curry | City: Dhaka
really tasty and fresh food i even got a cutney as complementary i ordered from here a couple of times and i ll keep ordering more keep up the great quality and taste  | Restaurant: Mahi's Kitchen | Cuisine: Curry | City: Dhaka
